"cc",remote_rtt,local_rtt
"AO",193.2933,130.6429
"BI",219.0108,30.5556
"BJ",195.6586,NULL
"BW",109.8882,28.2083
"CD",477.4597,NULL
"CG",160.6750,NULL
"CI",155.2674,NULL
"CM",222.4151,153.6429
"CV",172.3333,NULL
"DZ",126.9577,90.5600
"EG",68.2383,NULL
"ET",117.5372,15.6000
"GH",143.8013,271.0833
"GM",177.6250,2.7000
"KE",115.8787,12.6923
"LS",146.4500,47.8000
"MA",91.3992,148.6600
"MG",253.0818,1.6111
"MU",286.5572,NULL
"MW",254.0572,52.5806
"MZ",166.6839,55.7763
"NA",104.9316,28.5000
"NG",170.0442,NULL
"RE",162.2542,NULL
"RW",306.9394,9.4000
"SC",496.1739,13.3333
"SD",172.4828,NULL
"SN",107.2178,NULL
"SS",246.5238,NULL
"SZ",290.0000,54.7778
"TG",229.7651,138.4737
"TN",87.6295,28.0219
"TZ",136.7130,NULL
"UG",210.8986,NULL
"ZA",78.2068,25.6042
"ZM",195.0182,3.3462
"ZW",168.8893,NULL
